diretory_path,train,train_mse,train_rmse,train_mae,train_mapd,train_r2_squared,validation,val_mse,val_rmse,val_mae,val_mapd,val_r2_squared,test,test_mse,test_rmse,test_mae,test_mapd,test_r2_squared,time complexity,training time,validation time,test time,hyper-parameters,batch_size,lr_val,num_epochs,init_weights,num_hidden_layers,nodes_per_layer,activation,other parameters,feature_processing,label_type,input_feature_size,output_size,input_path,output_path,device
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_01_1791038,train,0.01775243,0.13323824,0.10573707,0.55338134,0.9996927,val,0.02281185,0.1510359,0.11445532,0.6385866,0.99958952,test,0.02350598,0.15331662,0.11792777,0.6052186,0.99961204,time complexity,2665.057001113892,0.3900003433227539,0.4040000438690185,hyper-parameters,64,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_01_2969162,train,0.0372803,0.19308105,0.16633588,0.91081683,0.99935467,val,0.04047194,0.2011764,0.16946086,0.95508679,0.99927175,test,0.04463028,0.2112588,0.17084441,0.90966684,0.9992634,time complexity,824.5299997329712,0.1469979286193847,0.135998249053955,hyper-parameters,128,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_02_0294416,train,0.03182433,0.17839375,0.12923081,0.67891394,0.99944912,val,0.03940822,0.19851504,0.13695753,0.74008824,0.99929089,test,0.04204151,0.20504026,0.14069246,0.70313823,0.99930612,time complexity,499.39900040626526,0.1409997940063476,0.1730003356933593,hyper-parameters,256,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_02_0360185,train,0.04759764,0.21816884,0.17302397,0.90752409,0.99917608,val,0.04857909,0.22040665,0.16967595,0.91801523,0.99912587,test,0.05381511,0.23198085,0.1757251,0.90504042,0.9991118,time complexity,337.5230014324188,0.0700008869171142,0.068998098373413,hyper-parameters,512,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_07_5922922,train,0.10432357,0.32299158,0.23196495,1.02326608,0.99819414,val,0.10254945,0.32023343,0.22714908,1.04576709,0.99815472,test,0.12089226,0.34769565,0.25399387,1.07429181,0.99800472,time complexity,5474.1599996089935,0.1450004577636718,0.1519997119903564,hyper-parameters,1,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_10_3910170,train,0.01607577,0.12679026,0.09716953,0.50478869,0.99972173,val,0.01822246,0.1349906,0.101541,0.55684954,0.9996721,test,0.02232725,0.14942305,0.10457209,0.53606621,0.9996315,time complexity,15981.667999982834,0.3980007171630859,0.3969991207122803,hyper-parameters,2,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_15_3815811,train,0.0262841,0.16212371,0.13060014,0.64483427,0.99954502,val,0.02991922,0.17297174,0.13734826,0.69616932,0.99946163,test,0.02952754,0.17183578,0.13790235,0.66863682,0.99951266,time complexity,12461.356999874117,0.9360015392303468,0.959998369216919,hyper-parameters,4,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_23_5361910,train,0.03868803,0.19669273,0.16373029,0.77747208,0.9993303,val,0.03925324,0.1981243,0.16306762,0.79901284,0.99929368,test,0.04369073,0.20902327,0.171865,0.79986223,0.9992789,time complexity,7749.315998792648,0.7449991703033447,1.045999526977539,hyper-parameters,8,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_04_46_0949879,train,0.01503277,0.12260818,0.09110747,0.44581897,0.99973978,val,0.01939803,0.13927682,0.10067079,0.51533306,0.99965095,test,0.01871381,0.13679843,0.1018391,0.49968683,0.99969114,time complexity,4019.972001552582,0.364999771118164,0.3670005798339844,hyper-parameters,16,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_05_05_4049745,train,0.03512421,0.18741454,0.16420132,0.83035361,0.99939199,val,0.03887533,0.19716828,0.17007755,0.90393853,0.99930048,test,0.03919502,0.19797733,0.17009014,0.84130471,0.9993531,time complexity,2086.176999807358,0.2380003929138183,0.1969993114471435,hyper-parameters,32,0.005,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
